timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1660947095,19223,15373841,13400878.904086913651637730032595,0.0,0.0,0.0,0.0,0.0,0.0
1661028104,19224,15379771,12522608.117339739062729044004124,0.0,0.0,0.0,0.0,0.0,0.0
1661103461,19225,15385282,12367134.396014404768330365215454,0.0,0.0,0.0,0.0,0.0,0.0
1661212112,19226,15393246,12149032.492847162317475511442078,0.0,0.0,0.0,0.0,0.0,0.0
1661269831,19227,15397527,12149032.492847162317475511442078,0.0,0.0,0.0,0.0,0.0,0.0
1661375522,19228,15405211,8600409.676623397213467837440963,0.0,0.0,0.0,0.0,0.0,0.0
1661444581,19229,15410122,8589129.393904621944494850689996,0.0,0.0,0.0,0.0,0.0,0.0
1661546715,19230,15417520,8589129.393904621944494850689996,0.0,0.0,0.0,0.0,0.0,0.0
1661637083,19231,15424053,7649862.386187839932159266201108,0.0,0.0,0.0,0.0,0.0,0.0
1661722824,19232,15430234,7649862.386187839932159266201108,0.0,0.0,0.0,0.0,0.0,0.0
1661804360,19233,15436164,7307139.199336842416053095038688,0.0,0.0,0.0,0.0,0.0,0.0
1661873399,19234,15441145,7307139.199336842416053095038688,0.0,0.0,0.0,0.0,0.0,0.0
1661959256,19235,15447362,7964914.369185309589505705536272,0.0,0.0,0.0,0.0,0.0,0.0
1662009242,19236,15450982,7964914.369185309589505705536272,0.0,0.0,0.0,0.0,0.0,0.0
1662136633,19237,15460246,7909709.023018024081536965094961,0.0,0.0,0.0,0.0,0.0,0.0
1662224754,19238,15466588,7654229.426884538498880521177292,0.0,0.0,0.0,0.0,0.0,0.0
1662330837,19239,15474252,7719272.653913526214866459967842,0.0,0.0,0.0,0.0,0.0,0.0
1662422389,19240,15480812,7983306.683083665005869104511627,0.0,0.0,0.0,0.0,0.0,0.0
1662501786,19241,15486583,7983306.683083665005869104511627,0.0,0.0,0.0,0.0,0.0,0.0
1662576339,19242,15491976,7983306.683083665005869104511627,0.0,0.0,0.0,0.0,0.0,0.0
1662672571,19243,15498934,7983306.683083665005869104511627,0.0,0.0,0.0,0.0,0.0,0.0
1662765157,19244,15505437,8444737.36174937246806473670197,0.0,0.0,0.0,0.0,0.0,0.0
1662846800,19245,15511161,8444737.36174937246806473670197,0.0,0.0,0.0,0.0,0.0,0.0
1662924778,19246,15516582,8662559.991895161978561327645504,0.0,0.0,0.0,0.0,0.0,0.0
1663025460,19247,15523681,8394683.497059447614675721061738,0.0,0.0,0.0,0.0,0.0,0.0
1663111553,19248,15529714,8312545.644544127902498272700833,0.0,0.0,0.0,0.0,0.0,0.0
1663197642,19249,15535622,7200311.685002232162516710300202,0.0,0.0,0.0,0.0,0.0,0.0
1663285127,19250,15542401,6999272.542688935786566312469374,0.0,0.0,0.0,0.0,0.0,0.0
1663366547,19251,15549082,6999272.542688935786566312469374,0.0,0.0,0.0,0.0,0.0,0.0
1663439639,19252,15555116,6265332.124674679795773721202406,0.0,0.0,0.0,0.0,0.0,0.0
1663544615,19253,15563775,6265332.124674679795773721202406,0.0,0.0,0.0,0.0,0.0,0.0
1663626875,19254,15570556,6265332.124674679795773721202406,0.0,0.0,0.0,0.0,0.0,0.0
1663703027,19255,15576848,5454032.422626216548272558292383,0.0,0.0,0.0,0.0,0.0,0.0
1663804055,19256,15585110,5454032.422626216548272558292383,0.0,0.0,0.0,0.0,0.0,0.0
1663876679,19257,15591118,4764850.2942584916120603557346,0.0,0.0,0.0,0.0,0.0,0.0
1663971635,19258,15598994,4548603.094414497747030684083921,0.0,0.0,0.0,0.0,0.0,0.0
1664055647,19259,15605965,4548603.094414497747030684083921,0.0,0.0,0.0,0.0,0.0,0.0
1664138447,19260,15612839,4548603.094414497747030684083921,0.0,0.0,0.0,0.0,0.0,0.0
1664235839,19261,15620895,4548603.094414497747030684083921,0.0,0.0,0.0,0.0,0.0,0.0
1664323019,19262,15628101,4548603.094414497747030684083921,0.0,0.0,0.0,0.0,0.0,0.0
1664403911,19263,15634807,4103889.994569602001544160040587,0.0,0.0,0.0,0.0,0.0,0.0
1664471843,19264,15640432,4103889.994569602001544160040587,0.0,0.0,0.0,0.0,0.0,0.0
1664581043,19265,15649481,4103889.994569602001544160040587,0.0,0.0,0.0,0.0,0.0,0.0
1664654987,19266,15655592,4266539.49158168008861126833759,0.0,0.0,0.0,0.0,0.0,0.0
1664706311,19267,15659847,4266273.0332802559984595563077,0.0,0.0,0.0,0.0,0.0,0.0
1664835947,19268,15670593,4266273.0332802559984595563077,0.0,0.0,0.0,0.0,0.0,0.0
1664920235,19269,15677557,4266273.0332802559984595563077,0.0,0.0,0.0,0.0,0.0,0.0
1665003611,19270,15684447,4266273.0332802559984595563077,0.0,0.0,0.0,0.0,0.0,0.0
1665087635,19271,15691407,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665186899,19272,15699621,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665238271,19273,15703885,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665342971,19274,15712566,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665440951,19275,15720689,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665530555,19276,15728121,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665619199,19277,15735470,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665692723,19278,15741560,4342655.30662862703598149856779,0.0,0.0,0.0,0.0,0.0,0.0
1665783119,19279,15749053,4170574.62165722700665841075,0.0,0.0,0.0,0.0,0.0,0.0
1665871271,19280,15756365,4170574.62165722700665841075,0.0,0.0,0.0,0.0,0.0,0.0
1665960047,19281,15763718,4185926.395765587062465550670864,0.0,0.0,0.0,0.0,0.0,0.0
1666045871,19282,15770823,4225488.533047246585253308905573,0.0,0.0,0.0,0.0,0.0,0.0
1666127843,19283,15777626,4225488.533047246585253308905573,0.0,0.0,0.0,0.0,0.0,0.0
1666166735,19284,15780847,4025862.816970671168752489570452,0.0,0.0,0.0,0.0,0.0,0.0
1666301807,19285,15792038,3516559.036243577857518944996834,0.0,0.0,0.0,0.0,0.0,0.0
1666380959,19286,15798608,3516559.036243577857518944996834,0.0,0.0,0.0,0.0,0.0,0.0
1666479227,19287,15806756,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1666550111,19288,15812634,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1666655591,19289,15821334,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1666736327,19290,15828020,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1666826243,19291,15835476,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1666879259,19292,15839872,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1666951835,19293,15845871,3565744.246805257747400525892756,0.0,0.0,0.0,0.0,0.0,0.0
1667075879,19294,15856145,4163937.188118265937011131379416,0.0,0.0,0.0,0.0,0.0,0.0
1667149535,19295,15862258,4163937.188118265937011131379416,0.0,0.0,0.0,0.0,0.0,0.0
1667184575,19296,15865161,4163937.188118265937011131379416,0.0,0.0,0.0,0.0,0.0,0.0
1667329295,19297,15877134,4160182.16245194234259820268015,0.0,0.0,0.0,0.0,0.0,0.0
1667417159,19298,15884412,4160182.16245194234259820268015,0.0,0.0,0.0,0.0,0.0,0.0
